

Meter Model Name,Meter SN,Meter IP Address,Meter MAC Address,Device Name,Device Local ID,Device Type ID,Device Type Name,Logging Interval,,Log File Status
PM5560,600097794,169.254.0.10,0:80:67:88:9D:30,PM55-#0600097794,1,13,PM5500,1,,0

,,,Topic ID1,Topic ID2,Topic ID3,Topic ID4,Topic ID5,Topic ID6,Topic ID7,Topic ID8,Topic ID9,Topic ID10,Topic ID11,Topic ID12,Topic ID13,Topic ID14
,,,64145,64149,1042,64160,64161,1050,1008,1034,64153,64157,1046,1014,1015,1017

Status,,Local Time Stamp,Active Energy Delivered (KWh),Active Energy Received (KWh),Active Power Total,Apparent Energy Delivered (KVAh),Apparent Energy Received (KVAh),Apparent Power Total,Current Average,Power Factor Total,Reactive Energy Delivered (KVARh),Reactive Energy Received (KVARh),Reactive Power Total,Voltage A-B,Voltage B-C,Voltage L-L
0,,2020-3-6 15:13,0,0,0,0,0,0,0,-4194304,0,0,0,1116904763,0,1111723840
0,,2020-3-6 15:14,0,0,0,0,0,0,0,-4194304,0,0,0,1116914814,0,1111737119
0,,2020-3-6 15:15,0,0,0,0,0,0,0,-4194304,0,0,0,1116910073,0,1111730841
0,,2020-3-6 15:16,0,0,0,0,0,0,0,-4194304,0,0,0,1116914424,0,1111736544
0,,2020-3-6 15:17,0,0,0,0,0,0,0,-4194304,0,0,0,1116908268,0,1111728303
0,,2020-3-6 15:18,0,0,0,0,0,0,0,-4194304,0,0,0,1116917171,0,1111740312
0,,2020-3-6 15:19,0,0,0,0,0,0,0,-4194304,0,0,0,1116912887,0,1111734491
0,,2020-3-6 15:20,0,0,0,0,0,0,0,-4194304,0,0,0,1116914471,0,1111736491
0,,2020-3-6 15:21,0,0,0,0,0,0,0,-4194304,0,0,0,1116913534,0,1111735240
0,,2020-3-6 15:22,0,0,0,0,0,0,0,-4194304,0,0,0,1116922911,0,1111747921
0,,2020-3-6 15:23,0,0,0,0,0,0,0,-4194304,0,0,0,1116919136,0,1111742819
0,,2020-3-6 15:24,0,0,0,0,0,0,0,-4194304,0,0,0,1116912002,0,1111733368
0,,2020-3-6 15:25,0,0,0,0,0,0,0,-4194304,0,0,0,1116924996,0,1111750664
0,,2020-3-6 15:26,0,0,0,0,0,0,0,-4194304,0,0,0,1116929523,0,1111756849
0,,2020-3-6 15:27,0,0,0,0,0,0,0,-4194304,0,0,0,1116926726,0,1111752971
0,,2020-3-6 15:28,0,0,0,0,0,0,0,-4194304,0,0,0,1116905460,0,1111724659
0,,2020-3-6 15:29,0,0,0,0,0,0,0,-4194304,0,0,0,1116919240,0,1111742931
0,,2020-3-6 15:30,0,0,0,0,0,0,0,-4194304,0,0,0,1116920731,0,1111745019
0,,2020-3-6 15:31,0,0,0,0,0,0,0,-4194304,0,0,0,1116931448,0,1111759381
0,,2020-3-6 15:32,0,0,0,0,0,0,0,-4194304,0,0,0,1116940908,0,1111772011
0,,2020-3-6 15:33,0,0,0,0,0,0,0,-4194304,0,0,0,1116931859,0,1111759923
0,,2020-3-6 15:34,0,0,0,0,0,0,0,-4194304,0,0,0,1116930096,0,1111757376
0,,2020-3-6 15:35,0,0,0,0,0,0,0,-4194304,0,0,0,1116932180,0,1111760405
0,,2020-3-6 15:36,0,0,0,0,0,0,0,-4194304,0,0,0,1116918752,0,1111742464
0,,2020-3-6 15:37,0,0,0,0,0,0,0,-4194304,0,0,0,1116923522,0,1111748647
0,,2020-3-6 15:38,0,0,0,0,0,0,0,-4194304,0,0,0,1116935134,0,1111764216
0,,2020-3-6 15:39,0,0,0,0,0,0,0,-4194304,0,0,0,1116920048,0,1111744263
0,,2020-3-6 15:40,0,0,0,0,0,0,0,-4194304,0,0,0,1116927945,0,1111754605
0,,2020-3-6 15:41,0,0,0,0,0,0,0,-4194304,0,0,0,1116916568,0,1111739328
0,,2020-3-6 15:42,0,0,0,0,0,0,0,-4194304,0,0,0,1116915346,0,1111737792
0,,2020-3-6 15:43,0,0,0,0,0,0,0,-4194304,0,0,0,1116908128,0,1111728187
